OTU_ID,Phylum,Class,Order,Family,BOLD,BOLD_Perc,BLAST,BLAST_Perc,Result
OTU_112,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius sp. 5TE,99.52,Psectrocladius sp. 5TE,99.52,Psectrocladius sp. 5TE
OTU_113,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_114,Arthropoda,Insecta,Diptera,Chironomidae,Apsectrotanypus trifascipennis,100,Apsectrotanypus trifascipennis,100,Apsectrotanypus trifascipennis
OTU_115,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_116,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_117,Arthropoda,Insecta,Diptera,Ceratopogonidae,Palpomyia sp. 5,99.76,No match,No match,No match
OTU_118,Arthropoda,Insecta,Diptera,Chironomidae,Heterotrissocladius sp. 2SW,100,No match,,Heterotrissocladius sp. 2SW
OTU_119,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_120,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius limbatellus,100,Psectrocladius limbatellus,100,Psectrocladius limbatellus
OTU_121,Arthropoda,Insecta,Diptera,Chironomidae,Eukiefferiella sp.,100,No match,,Eukiefferiella sp.
OTU_122,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus brundini,99.52,Tanytarsus brundini,99,Tanytarsus brundini
OTU_123,Arthropoda,Insecta,Diptera,Chironomidae,Limnophyes sp. ,100,No match,,Limnophyes sp. 
OTU_124,Arthropoda,Insecta,Diptera,Chironomidae,Procladius sp.,97,Procladius sp.,97,Procladius sp.
OTU_125,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_126,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura sp. CHA13Chiro1,100,Corynoneura scutellata,100,Corynoneura sp.
OTU_127,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus cylindratus,99.76,No match,No match,Arrenurus cylindratus
OTU_128,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius psilopterus,99.76,Psectrocladius psilopterus,99.76,Psectrocladius psilopterus/octomaculatus
,Arthropoda,Insecta,Diptera,Chironomidae,Psectrocladius octomaculatus,99.76,Psectrocladius octomaculatus,99.76,
OTU_129,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus signatus,99.04,Tanytarsus signatus,99,Tanytarsus signatus
OTU_130,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea modesta,98.32,No match,No match,Dasyhelea modesta
OTU_131,Arthropoda,Insecta,Diptera,Chironomidae,Benthalia dissidens,100,Benthalia carbonaria,99,Benthalia dissidens/carbonaria
,Arthropoda,Insecta,Diptera,Chironomidae,Benthalia carbonaria,100,,,
OTU_132,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus atridorsum,100,Cladotanytarsus atridorsum,100,Cladotanytarsus atridorsum
OTU_133,Arthropoda,Insecta,Diptera,Chironomidae,Procladius choreus,99.76,Procladius sp.,99.76,Procladius choreus
OTU_134,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus cylindratus,99.47,Arrenurus cylindratus,99.47,Arrenurus cylindratus
OTU_135,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales,Rickettsiales,98.74,Rickettsiales,97,Rickettsiales
OTU_136,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus wexionensis,99.76,Cladotanytarsus bicornutus,99.76,Cladotanytarsus bicornutus/wexionensis
,Arthropoda,Insecta,Diptera,Chironomidae,Cladotanytarsus bicornutus,99.76,,,
OTU_137,Arthropoda,Insecta,Diptera,Chironomidae,Conchapelopia melanops,100,Conchapelopia melanops,100,Conchapelopia melanops
OTU_138,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,99.52,Bezzia,99.52,
OTU_139,Arthropoda,Insecta,Diptera,Chironomidae,Natarsia punctata,99.28,Natarsia punctata,99.28,Natarsia punctata/Zavrelimyia nr. hirtimanus
,Arthropoda,Insecta,Diptera,Chironomidae,Zavrelimyia nr. hirtimanus,99.28,Zavrelimyia nr. hirtimanus,99.28,
OTU_140,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra pallidula,100,Micropsectra pallidula,100,Micropsectra pallidula
OTU_141,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura lobata,99.75,Corynoneura lobata,99,Corynoneura lobata
OTU_142,Arthropoda,Insecta,Diptera,Chironomidae,Pseudorthocladius curtistylus,99.28,Pseudorthocladius curtistylus,99,Pseudorthocladius curtistylus/ABV3504
,Arthropoda,Insecta,Diptera,Chironomidae,Pseudorthocladius ABV3504,99.34,,,
OTU_143,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus obscuripes,99.52,Chaoborus obscuripes,99.52,Chaoborus obscuripes
OTU_144,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogonidae,100,No match,No match,Ceratopogonidae
OTU_145,Arthropoda,Insecta,Diptera,Chironomidae,Paraphaenocladius impensus,100,Paraphaenocladius impensus,99,Paraphaenocladius impensus
OTU_146,Arthropoda,Insecta,Diptera,Chironomidae,Stempellinella edwardsi,99.52,Stempellinella edwardsi,99,Stempellinella edwardsi
OTU_147,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes pedellus,100,Microtendipes pedellus,99,Microtendipes pedellus
OTU_148,Arthropoda,Insecta,Diptera,Chironomidae,Paracladopelma camptolabis,100,Paracladopelma camptolabis,100,Paracladopelma camptolabis
OTU_149,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea stellata,100,No match,No match,Dasyhelea stellata
OTU_150,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura lacustris,99.76,Corynoneura lacustris,99.76,Corynoneura lacustris/lobata
,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura lobata,99.76,Corynoneura lobata,99.76,
OTU_151,Ascomycota,Ascomycota,Ascomycota,Ascomycota,Ascomycota,99.28,No match,No match,Ascomycota
OTU_152,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus brevicalcar,99.76,Paratanytarsus brevicalcar,98,Paratanytarsus brevicalcar/intricatus
,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus intricatus,99,Paratanytarsus intricatus,99,
OTU_153,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,Arrenurus tubulator,98.56,Arrenurus globator,100,Arrenurus
OTU_154,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia calvescens,100,Tvetenia calvescens,100,Tvetenia calvescens
OTU_155,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus eminulus,100,Tanytarsus eminulus,99,Tanytarsus eminulus
OTU_156,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum uncinatum,99.76,Polypedilum tritum,99,Polypedilum uncinatum/tritum
,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum tritum,98,,,
OTU_157,Arthropoda,Insecta,Diptera,Ceratopogonidae,Mallochohelea nitida,99.28,Mallochohelea nitida,99.28,Mallochohelea nitida
OTU_158,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus occultus,98.8,Tanytarsus occultus,98,Tanytarsus occultus
OTU_159,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus dissimilis,99.76,Paratanytarsus dissimilis,99.76,Paratanytarsus dissimilis
OTU_160,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides pictipennis,99.76,Culicoides pictipennis,99.76,Culicoides pictipennis
OTU_161,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum cultellatum,99.76,Polypedilum cultellatum,99,Polypedilum cultellatum
OTU_162,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_163,Arthropoda,Insecta,Diptera,Chironomidae,Chironomidae,98.08,No match,No match,Chironomidae
OTU_164,Arthropoda,Arachnida,Trombidiformes,Pionidae,Piona carnea,99.76,No match,No match,Piona carnea
OTU_165,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura sp. 20ES,98.08,No match,No match,Corynoneura sp. 20ES
OTU_166,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_167,Arthropoda,Insecta,Diptera,Culicidae,Anopheles maculipennis,100,Anopheles maculipennis,100,Anopheles maculipennis
OTU_168,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella majuscula,100,Thienemanniella majuscula,100,Thienemanniella majuscula/obscura
,Arthropoda,Insecta,Diptera,Chironomidae,Thienemanniella obscura,100,Thienemanniella obscura,100,
OTU_169,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_170,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus mendax,99.71,Tanytarsus mendax,98,Tanytarsus mendax
OTU_171,Arthropoda,Insecta,Diptera,Chironomidae,Rheotanytarsus curtistylus,100,Rheotanytarsus curtistylus,100,Rheotanytarsus curtistylus
OTU_172,Arthropoda,Arachnida,Trombidiformes,Unionicolidae,Neumania limosa,99.76,No match,No match,Neumania limosa
OTU_173,Arthropoda,Insecta,Diptera,Chironomidae,Simittia,100,Simittia,100,Simittia sp.
OTU_174,No match,No match,No match,No match,No match,No match,No match,No match,No match
OTU_175,Arthropoda,Insecta,Diptera,Chironomidae,Thienemannia gracei,99.04,No match,No match,Thienemannia gracei
OTU_177,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus riparius,100,Chironomus riparius,100,Chironomus riparius
OTU_178,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,99.76,No match,No match,Chironomus sp.
OTU_179,Arthropoda,Insecta,Ephemeroptera,Baetidae,Cloeon dipterum,100,Cloeon dipterum,100,Cloeon dipterum
OTU_180,Arthropoda,Insecta,Diptera,Chironomidae,Tanytarsus usmaensis,98.92,Tanytarsus usmaensis,98.81,Tanytarsus usmaensis
OTU_181,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus penicillatus,99.76,Paratanytarsus penicillatus,99,Paratanytarsus penicillatus
OTU_182,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus crystallinus,99.76,Chaoborus crystallinus,99.76,Chaoborus crystallinus
